Filière Accronyme,Filière nom,Catégorie nom, Catégorie identifiant,Eco-Organisme nom,Détail catégorie,Agrément date début,Agrément date fin,url détail,url ademe
BAT,Batteries,Batterie portable,1,Recycler Mon Véhicule (RMV),"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de moyens de transport légers (MTL),2,Recycler Mon Véhicule (RMV),"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,"Batterie de démarrage, d'éclairage et d'allumage (SLI)",3,Recycler Mon Véhicule (RMV),"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie industrielle,4,Recycler Mon Véhicule (RMV),"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de véhicules électriques,5,Recycler Mon Véhicule (RMV),"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie portable,1,BATRIBOX,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de moyens de transport légers (MTL),2,BATRIBOX,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,"Batterie de démarrage, d'éclairage et d'allumage (SLI)",3,BATRIBOX,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie industrielle,4,BATRIBOX,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de véhicules électrables,5,BATRIBOX,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie portable,1,ecosystem,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de moyens de transport légers (MTL),2,ecosystem,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,"Batterie de démarrage, d'éclairage et d'allumage (SLI)",3,ecosystem,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie industrielle,4,ecosystem,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BAT,Batteries,Batterie de véhicules électriques,5,ecosystem,"1, 2, 3, 4 et 5",2025-08-18,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-BAT
BPS,Bateaux de plaisance ou de sport,Bateaux de plaisance,1,APER,"Bateaux utilisés par des personnes physiques ou morales de droit privé pour usage personnel à des fins de loisir ou de sport, ou pour la formation à la navigation de plaisance - Longueur: 2,5 à 24 mètres; Exclut les embarcations propulsées par l'énergie humaine",2024-06-28,2029-12-31,https://www.recyclermonbateau.fr/wp-content/up2024-ds-lo/02/Bareme-2024.pdf,https://filieres-rep.ademe.fr/filieres-REP/filiere-BPS
BPS,Bateaux de plaisance ou de sport,Navires de sport (Jet ski et scooters des mers),2,APER,"Navires destinés à être utilisés à des fins sportives et de loisir - Longueur de coque < 4 mètres; Équipés d'un moteur de propulsion à turbine; Conçus pour être manœuvrés par une ou plusieurs personnes assises, debout ou agenouillées sur la coque",2024-06-28,2029-12-31,https://www.recyclermonbateau.fr/wp-content/up2024-ds-lo/02/Bareme-2024.pdf,https://filieres-rep.ademe.fr/filieres-REP/filiere-BPS
ABJ,Articles de bricolage et de jardin,Outillages du peintre,1,ECODDS,Outillages du peintre,2022-02-24,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ABJ,Articles de bricolage et de jardin,Machines et appareils motorisés thermiques,2,ECOLOGIC,Machines et appareils motorisés thermiques,2022-02-24,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ABJ,Articles de bricolage et de jardin,Matériel de bricolage,3,ECOMAISON,Matériel de bricolage | Produits destinés à l'entretien et l'aménagement du jardin,2022-04-21,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ABJ,Articles de bricolage et de jardin,Produits et matériels destinés à l'entretien et l'aménagement du jardin,4,ECOMAISON,Matériel de bricolage | Produits destinés à l'entretien et l'aménagement du jardin,2022-04-21,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ABJ,Articles de bricolage et de jardin,Matériel de bricolage,3,VALOBAT,Matériel de bricolage | Produits destinés à l'entretien et l'aménagement du jardin,2024-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ABJ,Articles de bricolage et de jardin,Produits et matériels destinés à l'entretien et l'aménagement du jardin,4,VALOBAT,Matériel de bricolage | Produits destinés à l'entretien et l'aménagement du jardin,2024-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ABJ
ASL,Articles de sport et de loisirs,Cycles et engins de déplacement personnel non motorisés,1,ECOLOGIC,1 et 2,2022-01-31,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ASL
ASL,Articles de sport et de loisirs,Produits destinés à la pratique sportive et ceux destinés aux activités de plein air,2,ECOLOGIC,1 et 2,2022-01-31,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-ASL
DISP-MED,Dispositifs médicaux perforants des patients en autotraitement,DASRI perforants,1,DASTRI,Standard (1) et Electronique (2),2023-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-DISP-MED
DISP-MED,Dispositifs médicaux perforants des patients en autotraitement,DASRI électroniques,2,DASTRI,Standard (1) et Electronique (2),2023-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-DISP-MED
EA,Eléments d'ameublement,Eléments d'ameublement,1,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Eléments d'ameublement,1,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Eléments d'ameublement,1,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Meubles de salon, séjour, salle à manger",1,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Meubles de salon, séjour, salle à manger",1,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Meubles de salon, séjour, salle à manger",1,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles d'appoint,2,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles d'appoint,2,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles d'appoint,2,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de chambre à coucher,3,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de chambre à coucher,3,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de chambre à coucher,3,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Literie (dont matelas),4,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Literie (dont matelas),4,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Literie (dont matelas),4,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de bureau,5,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de bureau,5,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de bureau,5,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de cuisine,6,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de cuisine,6,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de cuisine,6,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de salle de bain,7,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de salle de bain,7,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de salle de bain,7,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de jardin,8,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de jardin,8,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Meubles de jardin,8,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Sièges,9,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Sièges,9,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Sièges,9,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Mobiliers techniques, commerciaux et de collectivités",10,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Mobiliers techniques, commerciaux et de collectivités",10,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Mobiliers techniques, commerciaux et de collectivités",10,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Produits rembourrés d'assise et de couchage (PRAC),11,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Produits rembourrés d'assise et de couchage (PRAC),11,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,Produits rembourrés d'assise et de couchage (PRAC),11,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Eléments de décoration textile, ainsi que leurs accessoires",12,ECOMAISON,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Eléments de décoration textile, ainsi que leurs accessoires",12,VALDELIA,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EA,Eléments d'ameublement,"Eléments de décoration textile, ainsi que leurs accessoires",12,VALOBAT,Tous (ménagers et professionnels),2024-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EA
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,CHÂTEAU D'EAU,Professionnel: 1,2022-12-02,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
