Filière Accronyme,Filière nom,Catégorie nom, Catégorie identifiant,Eco-Organisme nom,Détail catégorie,Agrément date début,Agrément date fin,url détail,url ademe
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,SOREN,Ménager: 7,2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,ABBOTT,Ménager: 5,2024-01-01,2025-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,AKSOR,"Professionnel: 2,6",2024-12-31,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Équipements d’échange thermique,1,DIEBOLD NIXDORF,"Professionnel: 2,6",2022-12-02,2025-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,"Ecrans, moniteurs et équipements comprenant des écrans d’une surface supérieure à 100 cm²",2,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,"Ecrans, moniteurs et équipements comprenant des écrans d’une surface supérieure à 100 cm²",2,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,"Ecrans, moniteurs et équipements comprenant des écrans d’une surface supérieure à 100 cm²",2,AKSOR,"Professionnel: 2,6",2024-12-31,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,"Ecrans, moniteurs et équipements comprenant des écrans d’une surface supérieure à 100 cm²",2,DIEBOLD NIXDORF,"Professionnel: 2,6",2022-12-02,2025-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Lampes,3,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Gros équipements (dimension >50 cm),4,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Gros équipements (dimension >50 cm),4,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Gros équipements (dimension >50 cm),4,DIEBOLD NIXDORF,Professionnel: 4,2022-11-29,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Gros équipements (dimension >50 cm),4,NCR FRANCE,Professionnel: 4,2022-12-02,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements (dimension <50 cm),5,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements (dimension <50 cm),5,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements (dimension <50 cm),5,CHÂTEAU D'EAU,Ménager: 5,2022-12-02,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements (dimension <50 cm),5,ABBOTT,Ménager: 5,2024-01-01,2025-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements informatiques et de télécommunications,6,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements informatiques et de télécommunications,6,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements informatiques et de télécommunications,6,AKSOR,"Professionnel: 2,6",2024-12-31,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Petits équipements informatiques et de télécommunications,6,DIEBOLD NIXDORF,"Professionnel: 2,6",2022-12-02,2025-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Panneaux photovoltaïques,7,SOREN,Ménager: 7,2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Cycles et engins de déplacement personnel motorisés,8,ECOSYSTEM,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EEE,Équipements électriques et électroniques,Cycles et engins de déplacement personnel motorisés,8,ECOLOGIC,"Ménager: 1,2,4,5,6,8; Professionnel: 1,2,4,5,6,8",2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EEE
EMPAP,Emballages ménagers et papiers graphiques,Emballages ménagers,1,ADELPHE,Emballages ménagers,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EMPAP,Emballages ménagers et papiers graphiques,Emballages ménagers,1,CITEO,Emballages ménagers,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EMPAP,Emballages ménagers et papiers graphiques,Emballages ménagers,1,LEKO,Emballages ménagers,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EMPAP,Emballages ménagers et papiers graphiques,Papiers graphiques,2,ADELPHE,Papiers graphiques,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EMPAP,Emballages ménagers et papiers graphiques,Papiers graphiques,2,CITEO,Papiers graphiques,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EMPAP,Emballages ménagers et papiers graphiques,Papiers graphiques,2,LEKO,Papiers graphiques,2025-01-01,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EMPAP
EPRO,Emballages professionnels,Emballages professionnels,1,CITEO PRO,Emballages des activités de la restauration,2024-03-11,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-EPRO
JOUET,Jouets,Jouets,1,ECOMAISON,Jouets,2022-04-21,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-JOUET
LUB,Huiles lubrifiantes ou industrielles,"Huiles minérales ou synthétiques, lubrifiantes ou industrielles",1,CYCLEVIA,"Huiles pour moteurs thermiques et turbines, huiles pour engrenages, huiles pour mouvements, huiles pour compresseurs, huiles multifonctionnelles, huiles pour systèmes hydrauliques et amortisseurs, huiles pour usages électriques, huiles pour le traitement thermique, huiles non solubles pour le travail des métaux, fluides caloporteurs",2022-02-24,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-LUB
MNU,Médicaments non utilisés,Médicaments à usage humain,1,CYCLAMED,Médicaments inutilisés ou périmés détenus par les particuliers,2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-MNU
PCHIM,Contenus et contenants des produits chimiques,Produits pyrotechniques,1,PYRéO,Produits pyrotechniques (catégorie 1),2022-07-13,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Extincteurs et autres appareils à fonction extinctrice,2,EcoPAE,Petits appareils extincteurs (catégorie 2),2025-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Produits à base d'hydrocarbures,3,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,"Produits d'adhésion, d'étanchéité et de réparation",4,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Produits de traitement et de revêtement des matériaux et produits de préparation de surface,5,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Produits d'entretien spéciaux ou de protection,6,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Produits chimiques usuels,7,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Solvants et diluants,8,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Produits biocides et phytopharmaceutiques ménagers,9,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PCHIM,Contenus et contenants des produits chimiques,Engrais ménagers,10,ECODDS,Produits chimiques (catégories 3 à 10),2022-01-01,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PCHIM
PMCB,Produits et matériaux de construction du secteur du bâtiment,Produits et matériaux de construction à majorité minéraux,1,ECOMINERO,1,2022-09-30,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PMCB
PMCB,Produits et matériaux de construction du secteur du bâtiment,Produits et matériaux de construction à majorité minéraux,1,VALOBAT,1 et 2,2022-09-30,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PMCB
PMCB,Produits et matériaux de construction du secteur du bâtiment,"Autres produits et matériaux de construction (métal, bois, plâtre, plastique, etc.)",2,VALOBAT,1 et 2,2022-09-30,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PMCB
PMCB,Produits et matériaux de construction du secteur du bâtiment,"Autres produits et matériaux de construction (métal, bois, plâtre, plastique, etc.)",2,ECOMAISON,2,2022-09-30,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PMCB
PMCB,Produits et matériaux de construction du secteur du bâtiment,"Autres produits et matériaux de construction (métal, bois, plâtre, plastique, etc.)",2,VALDELIA,2,2022-10-06,2027-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PMCB
PNEU,Pneumatiques,"Pneumatiques ménagers et professionnels (voitures, poids lourds, motos, engins TP, tracteurs, avions…)",1,ALIAPUR,Tous,2024-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PNEU
PNEU,Pneumatiques,"Pneumatiques ménagers et professionnels (voitures, poids lourds, motos, engins TP, tracteurs, avions…)",1,FRANCE RECYCLAGE PNEUMATIQUE (FRP),Tous,2024-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PNEU
PNEU,Pneumatiques,"Pneumatiques ménagers et professionnels (voitures, poids lourds, motos, engins TP, tracteurs, avions…)",1,TYVAL,Tous,2024-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-PNEU
TABAC,Produits du tabac,Produits du tabac équipés de filtres composés en tout ou partie de plastique; produits destinés à être utilisés avec des produits du tabac,1,ALCOME,Tous,2021-07-28,2026-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-TABAC
TLC,"Textiles d'habillement, linges de maison et chaussures",Textiles d'habillement,1,REFASHION,"Textiles d'habillement, linges de maison, chaussures des ménages",2023-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
TLC,"Textiles d'habillement, linges de maison et chaussures",Linges de maison,2,REFASHION,"Textiles d'habillement, linges de maison, chaussures des ménages",2023-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
TLC,"Textiles d'habillement, linges de maison et chaussures",Chaussures,3,REFASHION,"Textiles d'habillement, linges de maison, chaussures des ménages",2023-01-01,2028-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-TLC
TSUU,Textiles sanitaires à usage unique,"lingettes,Textiles sanitaires à usage unique (lingettes)",1,CITEO Soin & Hygiène,Lingettes,2025-07-01,2030-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-TSUU
VEHICULE,"Voitures particulières, camionnettes, véhicules à moteur à 2 ou 3 roues et quadricycles",Véhicules hors d'usage (voitures particulières),M,RECYCLER MON VEHICULE (RMV),"Catégories M (voitures particulières), N (camionnettes < 3,5 t), L (2/3 roues et quadricycles)",2024-04-08,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-VEHICULE
VEHICULE,"Voitures particulières, camionnettes, véhicules à moteur à 2 ou 3 roues et quadricycles",Véhicules hors d'usage (camionnettes),N,RECYCLER MON VEHICULE (RMV),"Catégories M (voitures particulières), N (camionnettes < 3,5 t), L (2/3 roues et quadricycles)",2024-04-08,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-VEHICULE
VEHICULE,"Voitures particulières, camionnettes, véhicules à moteur à 2 ou 3 roues et quadricycles","Véhicules hors d'usage (véhicules à 2/3 roues, quadricycles)",L,RECYCLER MON VEHICULE (RMV),"Catégories M (voitures particulières), N (camionnettes < 3,5 t), L (2/3 roues et quadricycles)",2024-04-08,2029-12-31,,https://filieres-rep.ademe.fr/filieres-REP/filiere-VEHICULE
